district,Location,GPO,LIB,NDP,Other parties,PCP,Total,Others,difference,winner,Diff %,Diff % others,full_Location,lon,lat
074 Oakville,JOSHUA CREEK PUBLIC SCHOOL,30,348,59,33,714,1184,122,-366,PCP,0.3091216216216216,3.0,JOSHUA CREEK PUBLIC SCHOOL; Oakville; Ontario; Canada,-79.69758034210341,43.49926335
074 Oakville,JOSHUA'S CREEK ARENA,17,195,57,37,264,570,111,-69,PCP,0.12105263157894737,0.6216216216216216,JOSHUA'S CREEK ARENA; Oakville; Ontario; Canada,-79.681013,43.495225
074 Oakville,MAPLE GROVE P.S.,42,238,22,28,304,634,92,-66,PCP,0.10410094637223975,0.717391304347826,MAPLE GROVE P.S.; Oakville; Ontario; Canada,-79.651298,43.473282
074 Oakville,MUNN'S PUBLIC SCHOOL,44,180,51,44,195,514,139,-15,PCP,0.029182879377431907,0.1079136690647482,MUNN'S PUBLIC SCHOOL; Oakville; Ontario; Canada,-79.7091849054978,43.46604715
074 Oakville,NEW CENTRAL PUBLIC SCHOOL,37,203,19,28,319,606,84,-116,PCP,0.19141914191419143,1.380952380952381,NEW CENTRAL PUBLIC SCHOOL; Oakville; Ontario; Canada,-79.66154811735981,43.45393225
074 Oakville,OAKRIDGE HEIGHTS CONDOMINIUM - 60,4,17,5,7,35,68,16,-18,PCP,0.2647058823529412,1.125,OAKRIDGE HEIGHTS CONDOMINIUM - 60; Oakville; Ontario; Canada,-79.666672,43.447436
074 Oakville,OAKRIDGE HEIGHTS CONDOMINUIM - 40,3,36,5,3,28,75,11,8,LIB,0.10666666666666667,0.7272727272727273,OAKRIDGE HEIGHTS CONDOMINUIM - 40; Oakville; Ontario; Canada,-79.666672,43.447436
074 Oakville,OAKRIDGE HEIGHTS CONDOMINUIM - 50,8,33,9,0,30,80,17,3,LIB,0.0375,0.17647058823529413,OAKRIDGE HEIGHTS CONDOMINUIM - 50; Oakville; Ontario; Canada,-79.666672,43.447436
074 Oakville,OAKVILLE SENIOR CITIZENS RESIDENCE,4,37,16,14,55,126,34,-18,PCP,0.14285714285714285,0.5294117647058824,OAKVILLE SENIOR CITIZENS RESIDENCE; Oakville; Ontario; Canada,-79.682093,43.455214
074 Oakville,OAKVILLE TOWN HALL,223,2178,414,196,2264,5275,833,-86,PCP,0.016303317535545023,0.10324129651860744,OAKVILLE TOWN HALL; Oakville; Ontario; Canada,-79.68764906171216,43.46734365
074 Oakville,OAKVILLE TRAFALGAR COMMUNITY CENTRE,172,1742,165,136,1793,4008,473,-51,PCP,0.012724550898203593,0.10782241014799154,OAKVILLE TRAFALGAR COMMUNITY CENTRE; Oakville; Ontario; Canada,-79.67374926570358,43.45346475
074 Oakville,OAKVILLE TRAFALGAR HIGH SCHOOL,37,293,25,33,434,822,95,-141,PCP,0.17153284671532848,1.4842105263157894,OAKVILLE TRAFALGAR HIGH SCHOOL; Oakville; Ontario; Canada,-79.6535531581614,43.4720987
074 Oakville,OAKWOOD PUBLIC SCHOOL,49,199,87,51,180,566,187,19,LIB,0.03356890459363958,0.10160427807486631,OAKWOOD PUBLIC SCHOOL; Oakville; Ontario; Canada,-79.68357399951097,43.44741325
074 Oakville,PILGRIM WOOD PUBLIC SCHOOL,48,404,68,44,521,1085,160,-117,PCP,0.10783410138248847,0.73125,PILGRIM WOOD PUBLIC SCHOOL; Oakville; Ontario; Canada,-79.72847925335698,43.434772800000005
074 Oakville,QUEEN'S AVENUE RETIREMENT RESIDENCE,5,20,5,5,22,57,15,-2,PCP,0.03508771929824561,0.13333333333333333,QUEEN'S AVENUE RETIREMENT RESIDENCE; Oakville; Ontario; Canada,-79.666672,43.447436
074 Oakville,RAIN & SENSES - 55 & 65 SPEERS,5,86,21,5,69,186,31,17,LIB,0.0913978494623656,0.5483870967741935,RAIN & SENSES - 55 & 65 SPEERS; Oakville; Ontario; Canada,-79.6867138,43.4473568
074 Oakville,REVERA CHURCHILL PLACE,0,0,0,0,0,0,0,0,PCP,,,REVERA CHURCHILL PLACE; Oakville; Ontario; Canada,-79.666672,43.447436
